notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"IMPAC MORTGAGE HOLDINGS, INC.",Domestic Entity Other,2684888,31194,19951121,20210930,82639,2022-12-30,IMH,IMPAC MORTGAGE HOLDINGS INC
,INTERNATIONAL BANCSHARES CORPORATION,Bank Holding Company,1104231,31854,19980331,20210930,85875,2022-12-30,IBOC,INTERNATIONAL BANCSHARES CORP
,SCBT FINANCIAL CORPORATION,Bank Holding Company,1133437,31896,19970131,20210930,84389,2022-12-30,SSB,SOUTHSTATE CORP
,"UNITY BANCORP, INC.",Commercial Bank,2181426,31907,19970131,20210930,84397,2022-12-30,UNTY,UNITY BANCORP INC
,BAR HARBOR BANKSHARES,Bank Holding Company,1115385,32069,19970930,20210930,85332,2022-12-30,BHB,BAR HARBOR BANKSHARES
,CAMDEN NATIONAL CORPORATION,Bank Holding Company,1130249,32101,19971031,20210930,85418,2022-12-30,CAC,CAMDEN NATIONAL CORP
,"MID PENN BANCORP, INC.",Bank Holding Company,1944204,32185,19971231,20210930,85656,2022-12-30,MPB,MID PENN BANCORP INC
,RURBAN FINANCIAL CORP.,Bank Holding Company,1071454,33945,20011130,20210930,89202,2022-12-30,SBFG,S B FINANCIAL GROUP INC
,HERITAGE COMMERCE CORP,Bank Holding Company,2634874,34846,19980731,20210930,86302,2022-12-30,HTBK,HERITAGE COMMERCE CORP
,"SALISBURY BANCORP, INC.",Bank Holding Company,2693273,34857,19980831,20210930,86312,2022-12-30,SAL,SALISBURY BANCORP INC
,"GOLDMAN SACHS GROUP, INC., THE",Bank Holding Company,2380443,35048,19990528,20210930,86868,2022-12-30,GS,GOLDMAN SACHS GROUP INC
,MERCANTILE BANK CORPORATION,Bank Holding Company,2608763,35205,19990730,20210930,87114,2022-12-30,MBWM,MERCANTILE BANK CORP
,CITIZENS HOLDING COMPANY,Bank Holding Company,1083475,36338,19991029,20210930,87269,2022-12-30,CIZN,CITIZENS HOLDING CO
,"METLIFE, INC.",Domestic Entity Other,2945824,37138,20010228,20210930,87842,2022-12-30,MET,METLIFE INC
,OLD POINT FINANCIAL CORPORATION,Bank Holding Company,1076673,37177,20000428,20210930,88183,2022-12-30,OPOF,OLD POINT FINL CORP
,"BERKSHIRE HILLS BANCORP, INC",Thrift holding company,2333663,37659,20000630,20210930,88280,2022-12-30,BHLB,BERKSHIRE HILLS BANCORP INC
