notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,"INTEGRITY BANCSHARES, INC.",Bank Holding Company,2924360,51206,20060906,20080327
,"OMNI FINANCIAL SERVICES, INC.",Bank Holding Company,2868071,51207,20060929,20080721
,"PORTER BANCORP, INC.",Bank Holding Company,1249712,51209,20060929,20210930
,"FOX CHASE BANCORP, INC.",Thrift holding company,3846601,51309,20061031,20160630
,"TIDELANDS BANCSHARES, INC.",Bank Holding Company,3185476,51314,20061004,20110624
,"VIEWPOINT FINANCIAL GROUP, INC.",Bank holding company,4191465,51319,20100706,20191031
,CITIZENS FIRST CORPORATION,Bank Holding Company,2750952,51444,20061130,20190628
,"CITIZENS COMMUNITY BANCORP, INC.",Thrift holding company,3823929,51445,20061130,20210930
,"SOUTHERN NATIONAL BANCORP OF VIRGINIA, INC.",Bank Holding Company,3325740,51457,20061130,20210930
,"WSB FINANCIAL GROUP, INC.",Bank Holding Company,3350005,51567,20061214,20090508
,ALLIANCE BANCORP INC PA NEW,Thrift holding company,3846580,51650,20070131,20151009
,"HAMPDEN BANCORP, INC.",Bank Holding Company,3228702,51654,20070131,20150417
,ORITANI FINANCIAL CORP NEW,Thrift holding company,2692892,51661,20070131,20191129
,"FIRST CALIFORNIA FINANCIAL GROUP, INC.",Bank Holding Company,1031681,51989,20070313,20130531
,STEWARDSHIP FINANCIAL CORPORATION,Bank Holding Company,2290560,51999,20070330,20191031
,"VSB BANCORP, INC.",Bank Holding Company,3165508,52002,20070330,20131231
,"ATLANTIC SOUTHERN FINANCIAL GROUP, INC.",Bank Holding Company,3264812,52130,20070416,20110128
,C M S BANCORP INC,Thrift holding company,3671960,52131,20070430,20150428
,"ESSA BANCORP, INC.",Thrift holding company,3854268,52134,20070430,20210930
,TFS FINANCIAL CORP,Thrift holding company,3828045,52142,20070430,20210930
,"FIRST CAPITAL BANCORP, INC.",Bank Holding Company,3454172,52374,20070629,20151231
,DISCOVER FINANCIAL SERVICES,Bank holding company,3846375,52396,20090313,20210930
,BENEFICIAL MUTUAL BANCORP INC,Thrift holding company,3846629,52541,20070731,20190228
,"ENCORE BANCSHARES, INC.",Bank Holding Company,3555341,52543,20070718,20120731
,LOUISIANA BANCORP INC,Thrift holding company,3841914,52545,20070731,20150915
,SILVER STATE BANCORP,Bank Holding Company,2777614,52552,20070718,20080905
,"FIRST FINANCIAL NORTHWEST, INC.",Thrift holding company,3843628,52773,20071031,20210930
,LAPORTE BANCORP INC,Thrift holding company,3866739,52777,20071031,20121004
,TOWNEBANK,Commercial Bank,2797724,52785,20071031,20210930
,WESTERN LIBERTY BANCORP,Bank Holding Company,3958988,52835,20101029,20120630
,FIRST ADVANTAGE BANCORP,Bank holding company,3842126,52860,20071130,20130531
,NORTHFIELD BANCORP INC,Thrift holding company,3132863,52863,20071130,20210930
,GREAT FLORIDA BANK,Commercial Bank,3277876,52879,20071205,20100519
,"DANVERS BANCORP, INC.",Bank Holding Company,2704562,52919,20080110,20110630
,"MERIDIAN INTERSTATE BANCORP, INC",Bank Holding Company,3402472,52920,20080131,20140726
,MERIDIAN BANCORP INC (MD),Bank Holding Company,1902651,52920,20140729,20210930
,CAPE BANCORP INC,Thrift holding company,3832819,52948,20080229,20160429
,"MIDWESTONE FINANCIAL GROUP, INC.",Bank Holding Company,1245228,52970,20080331,20210930
,MALVERN FEDERAL BANCORP INC,Thrift holding company,3805279,53026,20080530,20210930
,"BANCORP OF NEW JERSEY, INC.",Bank Holding Company,3554250,53031,20080630,20191231
,"BRIDGE BANCORP, INC.",Bank Holding Company,1416523,53043,20080630,20210930
,"FIRST SAVINGS FINANCIAL GROUP, INC.",Thrift holding company,3908929,53097,20081031,20210930
,"HOME BANCORP, INC.",Thrift holding company,3851191,53098,20081031,20210930
,"BANK OF KENTUCKY FINANCIAL CORPORATION, THE",Bank Holding Company,2291624,53105,20081128,20150619
,HERALD NATIONAL BANK,Commercial Bank,3830235,53109,20081209,20120330
,"1ST CENTURY BANCSHARES, INC.",Bank Holding Company,3602236,53112,20081231,20160630
,DNB FINANCIAL CORPORATION,Bank Holding Company,1117455,53114,20090130,20191129
,OAK VALLEY BANCORP,Bank holding company,3726440,53116,20090130,20210930
,"ORRSTOWN FINANCIAL SERVICES, INC.",Bank Holding Company,1248153,53141,20090430,20210930
,TOWER BANCORP INC.,Bank Holding Company,1118292,53142,20090406,20110930
,TERRITORIAL BANCORP INC.,Thrift holding company,3954681,53187,20090731,20210930
,"1ST UNITED BANCORP, INC.",Bank Holding Company,2860431,53220,20090930,20141031
,HUDSON VALLEY HOLDING CORP.,Bank Holding Company,1048803,53222,20090930,20150629
